,Unnamed: 0,Unnamed: 0.1,clave_ct,nom_turno,nombre_ct,domicilio,localidad_inegi,nombre_localidad,nombre_colonia,municipio,nombre_municipio,sostenimiento,nivel,programa,hombres_1!,mujeres_1!,total_1!,hombres_2!,mujeres_2!,total_2!,hombres_3!,mujeres_3!,total_3!,hombres_4!,mujeres_4!,total_4!,hombres_5!,mujeres_5!,total_5!,hombres_6!,mujeres_6!,total_6!,hombres_total,mujeres_total,matricula_total,docentes,grupos,docenete_educacion_fisica,docente_actividades_artisticas,docente_actividades_tecnonologicas,docente_de_idiomas,personal_de_administrativo_y_servicios,director_con_grupo,director_sin_grupo,total_de_personal
4457,4457,4457,14KJN0641N,MATUTINO,RANCHO_DEL_PADRE,CONOCIDO,323,LOS_GATOS_Y_ANEXOS,0,85,TAMAZULA_DE_GORDIANO,FEDERAL,PREESCOLAR,CONAFE,1,1,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,1,1,0,0,0,0,0,0,0,1
4458,4458,4458,14KJN0645J,MATUTINO,LINDA_VISTA,CONOCIDO,23,LINDAVISTA,0,88,TECOLOTLAN,FEDERAL,PREESCOLAR,CONAFE,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
4459,4459,4459,14KJN0647H,MATUTINO,ATEMANICA,CONOCIDO,17,ATEMANICA,0,94,TEQUILA,FEDERAL,PREESCOLAR,CONAFE,6,0,6,3,1,4,1,2,3,0,0,0,0,0,0,0,0,0,10,3,13,1,1,0,0,0,0,0,0,0,1
4460,4460,4460,14KJN0648G,MATUTINO,PALMITOS,CONOCIDO,96,PALMITOS,0,94,TEQUILA,FEDERAL,PREESCOLAR,CONAFE,0,1,1,1,4,5,2,1,3,0,0,0,0,0,0,0,0,0,3,6,9,1,1,0,0,0,0,0,0,0,1
4461,4461,4461,14KJN0649F,MATUTINO,ZAPOTE,CONOCIDO,169,EL_ZAPOTE,0,94,TEQUILA,FEDERAL,PREESCOLAR,CONAFE,0,0,0,3,0,3,0,1,1,0,0,0,0,0,0,0,0,0,3,1,4,1,1,0,0,0,0,0,0,0,1
4462,4462,4462,14KJN0650V,MATUTINO,OCOTIQUE,CONOCIDO,213,OCOTIQUE,0,94,TEQUILA,FEDERAL,PREESCOLAR,CONAFE,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
4463,4463,4463,14KJN0651U,MATUTINO,SAUCES_LOS,CONOCIDO,13,LOS_SAUCES,0,96,TIZAPAN_EL_ALTO,FEDERAL,PREESCOLAR,CONAFE,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,1,0,0,0,0,0,0,0,0
4464,4464,4464,14KJN0652T,MATUTINO,TOXIN,CONOCIDO,31,TOXIN,0,99,TOLIMAN,FEDERAL,PREESCOLAR,CONAFE,2,2,4,2,2,4,1,4,5,0,0,0,0,0,0,0,0,0,5,8,13,1,1,0,0,0,0,0,0,0,1
4465,4465,4465,14KJN0656P,MATUTINO,LA_FABRICA,CONOCIDO,468,LA_CIENEGA,0,93,TEPATITLAN_DE_MORELOS,FEDERAL,PREESCOLAR,CONAFE,1,1,2,1,1,2,1,1,2,0,0,0,0,0,0,0,0,0,3,3,6,1,1,0,0,0,0,0,0,0,1
4466,4466,4466,14KJN0659M,MATUTINO,SAN_MAMES,CONOCIDO,47,HACIENDA_SAN_MAMES,0,108,TUXPAN,FEDERAL,PREESCOLAR,CONAFE,1,2,3,2,1,3,1,0,1,0,0,0,0,0,0,0,0,0,4,3,7,1,1,0,0,0,0,0,0,0,1
4467,4467,4467,14KJN0660B,MATUTINO,CAMICHINES_LOS,CONOCIDO,9,LOS_CAMICHINES,0,113,SAN_GABRIEL,FEDERAL,PREESCOLAR,CONAFE,0,0,0,0,1,1,1,2,3,0,0,0,0,0,0,0,0,0,1,3,4,1,1,0,0,0,0,0,0,0,1
4468,4468,4468,14KJN0661A,MATUTINO,EL_PENAL,CONOCIDO,43,EL_PENAL,0,113,SAN_GABRIEL,FEDERAL,PREESCOLAR,CONAFE,1,0,1,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,1,1,0,0,0,0,0,0,0,1
4469,4469,4469,14KJN0662Z,MATUTINO,CORRAL_BLANCO,CONOCIDO,16,CORRAL_BLANCO,0,116,VILLA_HIDALGO,FEDERAL,PREESCOLAR,CONAFE,4,3,7,2,4,6,2,2,4,0,0,0,0,0,0,0,0,0,8,9,17,1,1,0,0,0,0,0,0,0,1
4470,4470,4470,14KJN0667V,MATUTINO,CAMPANA,CONOCIDO,8,LA_CAMPANA,0,123,ZAPOTLAN_DEL_REY,FEDERAL,PREESCOLAR,CONAFE,1,0,1,2,2,4,1,0,1,0,0,0,0,0,0,0,0,0,4,2,6,1,1,0,0,0,0,0,0,0,1
4471,4471,4471,14KJN0668U,MATUTINO,MESA_DE_AMULA,CONOCIDO,24,MESA_DE_AMULA,0,123,ZAPOTLAN_DEL_REY,FEDERAL,PREESCOLAR,CONAFE,3,1,4,2,1,3,2,0,2,0,0,0,0,0,0,0,0,0,7,2,9,1,1,0,0,0,0,0,0,0,1
