,Unnamed: 0,Unnamed: 0.1,clave_ct,nom_turno,nombre_ct,domicilio,localidad_inegi,nombre_localidad,colonia,nombre_colonia,municipio_clave_inegi,nombre_municipio,sostenimiento,nivel,programa,deserciin_intracurricular,reprobaciin,reprobaciin__con_regularizados,eficiencia_terminal
10893,10893,10893,14KPR0589Y,MATUTINO,MESA_DE_DON_JUAN,CONOCIDO,48,MESA_DE_SAN_JUAN,0,0,71,SAN_CRISTOBAL_DE_LA_BARRANCA,FEDERAL,PRIMARIA,CONAFE,0.0,0.0,,0.0
10894,10894,10894,14KPR0598F,MATUTINO,SANTA_ANA_DE_ARRIBA,CONOCIDO,186,SANTA_ANA_DE_ARRIBA,0,0,78,SAN_MIGUEL_EL_ALTO,FEDERAL,PRIMARIA,CONAFE,0.0,0.0,,100.0
10895,10895,10895,14KPR0600D,MATUTINO,MIGUEL_HIDALGO_Y_COSTILLA,CONOCIDO,134,SAN_FRANCISCO_DE_ARRIBA,0,0,15,AUTLAN_DE_NAVARRO,FEDERAL,PRIMARIA,CONAFE,28.57,0.0,,25.0
10896,10896,10896,14KPR0604Z,MATUTINO,LOS_DEPOSITOS,CONOCIDO,5,LOS_DEPOSITOS,0,0,23,ZAPOTLAN_EL_GRANDE,FEDERAL,PRIMARIA,CONAFE,0.0,0.0,,0.0
10897,10897,10897,14KPR0607X,MATUTINO,LA_PAROTA,CONOCIDO,280,EL_NACASTE,0,0,84,TALPA_DE_ALLENDE,FEDERAL,PRIMARIA,CONAFE,0.0,0.0,,0.0
10898,10898,10898,14KPR0613H,MATUTINO,OCOTENGO,CONOCIDO,76,OCOTENGO,0,0,45,IXTLAHUACAN_DEL_RIO,FEDERAL,PRIMARIA,CONAFE,50.0,0.0,,0.0
10899,10899,10899,14KPR0616E,MATUTINO,LAZARO_CARDENAS,CONOCIDO,496,EL_TUTANO,0,0,53,LAGOS_DE_MORENO,FEDERAL,PRIMARIA,CONAFE,0.0,0.0,,0.0
10900,10900,10900,14KPR0620R,MATUTINO,LAS_JUNTAS,CONOCIDO,74,JUNTAS_DEL_TEJOCOTE,0,0,85,TAMAZULA_DE_GORDIANO,FEDERAL,PRIMARIA,CONAFE,0.0,0.0,,0.0
10901,10901,10901,14KPR0624N,MATUTINO,ERNESTO_GUAJARDO_SALINAS,CONOCIDO,23,LINDAVISTA,0,0,88,TECOLOTLAN,FEDERAL,PRIMARIA,CONAFE,0.0,0.0,,0.0
10902,10902,10902,14KPR0633V,MATUTINO,LOS_ESTRADA,CONOCIDO,60,ACATITLAN,0,0,97,TLAJOMULCO_DE_ZUAIGA,FEDERAL,PRIMARIA,CONAFE,8.33,0.0,,100.0
10903,10903,10903,14KPR0667L,MATUTINO,CUAUHTEMOC,CONOCIDO,165,EL_BALUARTE,0,0,91,TEOCALTICHE,FEDERAL,PRIMARIA,CONAFE,0.0,0.0,,100.0
10904,10904,10904,14KPR0677S,MATUTINO,SALTO_DEL_AGUA,CONOCIDO,76,SALTO_DE_AGUA,0,0,111,VALLE_DE_GUADALUPE,FEDERAL,PRIMARIA,CONAFE,0.0,0.0,,50.0
10905,10905,10905,14KPR0679Q,MATUTINO,LOS_PEDERNALES,CONOCIDO,143,LOS_PEDERNALES,0,0,118,YAHUALICA_DE_GONZALEZ_GALLO,FEDERAL,PRIMARIA,CONAFE,25.0,0.0,,0.0
10906,10906,10906,14KPR0696G,MATUTINO,NOGALES_DE_AAIL,CONOCIDO,99,LOS_NOGALES,0,0,85,TAMAZULA_DE_GORDIANO,FEDERAL,PRIMARIA,CONAFE,0.0,28.57,,0.0
10907,10907,10907,14KPR0726K,MATUTINO,PEDRO_MORENO,CONOCIDO,41,HOSTOTIPAC,0,0,80,SAN_SEBASTIAN_DEL_OESTE,FEDERAL,PRIMARIA,CONAFE,0.0,0.0,,100.0
10908,10908,10908,14KPR0727J,MATUTINO,IGNACIO_M_ALTAMIRANO,CONOCIDO,10,LA_ESTANCIA,0,0,14,ATOYAC,FEDERAL,PRIMARIA,CONAFE,0.0,14.29,,100.0
10909,10909,10909,14KPR0748W,MATUTINO,VICENTE_GUERRERO,CONOCIDO,133,SAN_GASPAR,0,0,94,TEQUILA,FEDERAL,PRIMARIA,CONAFE,16.67,0.0,,75.0
10910,10910,10910,14KPR0770Y,MATUTINO,AGUSTIN_DE_ITURBIDE,CONOCIDO,194,PUERTO_DEL_CUARENTA,0,0,53,LAGOS_DE_MORENO,FEDERAL,PRIMARIA,CONAFE,0.0,0.0,,0.0
10911,10911,10911,14KPR0782C,MATUTINO,BEATRIZ_HERNANDEZ,CONOCIDO,54,LOS_LLANITOS,0,0,27,CUAUTITLAN_DE_GARCIA_BARRAGAN,FEDERAL,PRIMARIA,CONAFE,0.0,0.0,,100.0
10912,10912,10912,14KPR0798D,MATUTINO,AGUSTIN_DE_ITURBIDE,CONOCIDO,202,LOS_BAAOS,0,0,43,LA_HUERTA,FEDERAL,PRIMARIA,CONAFE,0.0,0.0,,0.0
10913,10913,10913,14KPR0826J,MATUTINO,SOR_JUANA_INES_DE_LA_CRUZ,CONOCIDO,15,BARRANCA_DE_LOS_ALTOS,0,0,87,TECALITLAN,FEDERAL,PRIMARIA,CONAFE,60.0,0.0,,0.0
10914,10914,10914,14KPR0831V,MATUTINO,MARCELINO_GARCIA_BARRAGAN,CONOCIDO,71,LOS_CERRITOS,0,0,99,TOLIMAN,FEDERAL,PRIMARIA,CONAFE,0.0,0.0,,0.0
